company,batch,title,job_type,role_track,location,experience_text,entry_level_match_reason,job_link,source_page
Beam,W22,Founding Software Engineer,Full-time,Full stack,"New York, NY, US",1+ years,1+ years,https://www.ycombinator.com/companies/beam/jobs/fW00Rkx-founding-software-engineer,https://www.ycombinator.com/jobs
REVER,S22,Backend Engineer,Full-time,Full stack,"Barcelona, CT, ES / ES",Any (new grads ok),any (new grads ok),https://www.ycombinator.com/companies/rever/jobs/CjCpj0t-backend-engineer,https://www.ycombinator.com/jobs
Onshore,W23,Software Engineer II,Full-time,Full stack,"New York, NY, US",Any (new grads ok),any (new grads ok),https://www.ycombinator.com/companies/onshore/jobs/zubi0Yj-software-engineer-ii,https://www.ycombinator.com/jobs
Thera,S22,Founding Engineer,Full-time,Full stack,"New York, NY, US",Any (new grads ok),any (new grads ok),https://www.ycombinator.com/companies/thera/jobs/nY4iE3x-founding-engineer,https://www.ycombinator.com/jobs
Seal,S20,Product Engineer,Full-time,Full stack,"England, GB",Any (new grads ok),any (new grads ok),https://www.ycombinator.com/companies/seal-2/jobs/n4byaPm-product-engineer,https://www.ycombinator.com/jobs
